play,yardage,median_deviation,mean_deviation,heuristic,algorithm,speed_coefficient
play123-game2020112601.csv,8.189999999999998,3.6360005500549626,3.6360005500549626,optimal,pitch_control,optimal
play123-game2020120600.csv,15.649999999999977,1.828189754313757,1.828189754313757,optimal,pitch_control,optimal
play123-game2020122602.csv,7.36999999999999,2.9742393985689835,2.9742393985689835,optimal,pitch_control,optimal
play1232-game2020121900.csv,2.6500000000000057,11.166830347059097,11.166830347059097,optimal,pitch_control,optimal
play1232-game2021010309.csv,15.41000000000001,8.600877643880215,8.600877643880215,optimal,pitch_control,optimal
play1246-game2020110808.csv,12.64,9.022483028523801,9.022483028523801,optimal,pitch_control,optimal
play1246-game2020111503.csv,93.68,3.299848481370014,3.299848481370014,optimal,pitch_control,optimal
play1250-game2020120610.csv,13.079999999999998,4.50111097397076,4.50111097397076,optimal,pitch_control,optimal
play1253-game2020092800.csv,14.329999999999998,11.469420212024668,11.469420212024668,optimal,pitch_control,optimal
play1258-game2020112905.csv,13.290000000000006,30.624976041686217,30.624976041686217,optimal,pitch_control,optimal
play126-game2020110109.csv,18.86,19.205041004902853,19.205041004902853,optimal,pitch_control,optimal
play126-game2020122010.csv,15.290000000000006,8.887136771761762,8.887136771761762,optimal,pitch_control,optimal
play1265-game2020092003.csv,11.419999999999987,6.732146760135281,6.732146760135281,optimal,pitch_control,optimal
play1267-game2020120700.csv,21.17,10.22002923336642,10.22002923336642,optimal,pitch_control,optimal
play127-game2020100410.csv,4.529999999999973,4.15897957570257,4.15897957570257,optimal,pitch_control,optimal
play1270-game2020110810.csv,82.32000000000001,10.40896301804897,10.40896301804897,optimal,pitch_control,optimal
play1276-game2020122600.csv,5.280000000000001,16.97753810185682,16.97753810185682,optimal,pitch_control,optimal
play128-game2020100403.csv,13.61,43.058764569481085,43.058764569481085,optimal,pitch_control,optimal
play1287-game2020122007.csv,12.940000000000012,8.067044068306554,8.067044068306554,optimal,pitch_control,optimal
play129-game2020101200.csv,17.760000000000005,10.558418442172103,10.558418442172103,optimal,pitch_control,optimal
play130-game2020120602.csv,9.940000000000026,3.4217604306035927,3.4217604306035927,optimal,pitch_control,optimal
play130-game2020121311.csv,6.109999999999999,12.40224218079582,12.40224218079582,optimal,pitch_control,optimal
play130-game2020122704.csv,12.790000000000006,5.703867109251407,5.703867109251407,optimal,pitch_control,optimal
play1306-game2020110108.csv,12.629999999999995,9.031085206108955,9.031085206108955,optimal,pitch_control,optimal
play1306-game2020120607.csv,16.570000000000007,2.5877403270034636,2.5877403270034636,optimal,pitch_control,optimal
play131-game2020101901.csv,1.240000000000009,20.33586350378179,20.33586350378179,optimal,pitch_control,optimal
play1310-game2020092706.csv,17.629999999999995,4.712075504016839,4.712075504016839,optimal,pitch_control,optimal
play1311-game2020112207.csv,5.8700000000000045,1.6016241756417127,1.6016241756417127,optimal,pitch_control,optimal
play1312-game2021010313.csv,,,,optimal,pitch_control,optimal
play1329-game2020120611.csv,13.39,0.8650144507463456,0.8650144507463456,optimal,pitch_control,optimal
play1331-game2020091306.csv,0.140000000000029,5.218573666348994,5.218573666348994,optimal,pitch_control,optimal
play1332-game2020120600.csv,7.25,9.267389060571485,9.267389060571485,optimal,pitch_control,optimal
